Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,Course Name,Description,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2020 - 2021,2021 Spring,UGRD,UGRD,Christopher,Conly,,CSE,4316,5,COMPUTER SYSTEM DESIGN PROJECT I,"Analysis and design of an industry-type project that involves hardware and software components to meet desired needs within realistic constraints and standards. The project is to be completed inCSE 4317the following semester. Multidisciplinary teams ofCSE 4316students are required to develop, review, and present problem definition, project planning, requirements formulation, and design specification. Prerequisites: Admitted into a CSE Professional Program. For academic plan CS__CS or SE__SE, C or better inCSE 3310andCSE 3320, and C or better inCSE 3314(or concurrently). For academic plan CSE_CP, C or better inCSE 3320andCSE 3442, and C or better inCSE 3314(or concurrently).",24,5,0,0,0,0,0,0,0,0,0,29
2020 - 2021,2021 Spring,UGRD,UGRD,Christopher,Conly,,CSE,4317,3,COMPUTER SYSTEM DESIGN PROJECT II,"Implementation, integration, quality assurance through peer review and testing, and deployment of the project designed inCSE 4316; oral presentation, documentation and project demonstration. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 4316and continuation with the same team.",26,4,2,0,0,0,0,0,0,0,0,32
2020 - 2021,2021 Spring,UGRD,UGRD,Christopher,Conly,,CSE,4317,9,COMPUTER SYSTEM DESIGN PROJECT II,"Implementation, integration, quality assurance through peer review and testing, and deployment of the project designed inCSE 4316; oral presentation, documentation and project demonstration. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 4316and continuation with the same team.",24,5,1,0,0,0,0,0,0,0,0,30
2020 - 2021,2021 Spring,UGRD,UGRD,Christopher,McMurrough,,CSE,4317,1,COMPUTER SYSTEM DESIGN PROJECT II,"Implementation, integration, quality assurance through peer review and testing, and deployment of the project designed inCSE 4316; oral presentation, documentation and project demonstration. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 4316and continuation with the same team.",30,0,0,0,0,0,0,0,0,0,0,30
2020 - 2021,2021 Spring,UGRD,UGRD,Christopher,McMurrough,,CSE,4317,7,COMPUTER SYSTEM DESIGN PROJECT II,"Implementation, integration, quality assurance through peer review and testing, and deployment of the project designed inCSE 4316; oral presentation, documentation and project demonstration. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 4316and continuation with the same team.",30,0,0,0,0,0,0,0,0,0,0,30
2020 - 2021,2021 Spring,UGRD,UGRD,David,Kung,,CSE,3311,1,OBJECT-ORIENTED SOFTWARE ENGINEERING,"Study of an agile unified methodology and its application to object-oriented software development. Topics include requirements acquisition, use case derivation, modeling and design of interaction behavior and state behavior, introduction to design patterns, derivation of design class diagrams, implementation considerations and deployment. Team project. Prerequisite: C or better in each of the following:CSE 3310andCSE 3318.",41,3,1,0,0,0,0,0,0,0,0,45
2020 - 2021,2021 Spring,UGRD,UGRD,David,Kung,Jianjin Deng,CSE,4361,1,SOFTWARE DESIGN PATTERNS,"In-depth study of software design patterns including description of patterns, design principles and techniques used by patterns as well as application of patterns to solving practical design problems. Team project. Prerequisites:  Admitted into an Engineering Professional Program. C or better inCSE 3311.",20,8,0,0,0,0,0,0,1,0,0,29
2020 - 2021,2021 Spring,UGRD,UGRD,David,Levine,Suraj Shetiya,CSE,4381,1,INFORMATION SECURITY II,"Deeper study of the fundamentals of security, including symmetric key cryptography, public key cryptography, cryptographic protocols, malware design, network attacks and defenses, data security, privacy, and wireless security. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 3320and C or better inCSE 4344(or concurrently).",10,3,0,0,0,0,0,0,0,0,0,13
2020 - 2021,2021 Spring,UGRD,UGRD,Donna,French,Mohammad Rezaei,CSE,1310,2,INTRODUCTION TO COMPUTERS & PROGRAMMING,"An introduction to the computer, to the algorithmic process, and to programming using basic control and data structures, using a procedural language. Prerequisite: C or better inMATH 1302orMATH 1402or C or better in (or concurrent enrollment in) a subsequent mathematics course (MATH 1421,MATH 1426,MATH 2425,MATH 2326,MATH 3330,HONR-SC 1426orHONR-SC 2425) or a qualifying score on the ALEKS PPL and C or better inUNIV 1131(or concurrent enrollment) orENGR 1101(or concurrent enrollment).",21,13,6,3,4,0,0,2,3,0,0,52
2020 - 2021,2021 Spring,UGRD,UGRD,Donna,French,Sai Harshita Mallina,CSE,1320,2,INTERMEDIATE PROGRAMMING,"Programming concepts beyond basic control and data structures. Emphasis is given to data structures including linked-lists and trees as well as modular design consistent with software engineering principles. Prerequisite: C or better inCSE 1310and C or better in (or concurrent enrollment in) (MATH 1421,MATH 1426,MATH 2425,MATH 2326,MATH 3330,HONR-SC 1426, orHONR-SC 2425) or a qualifying score on the ALEKS PPL and C or better inUNIV 1131(or concurrent enrollment) orENGR 1101(or concurrent enrollment.).",10,11,10,6,7,0,0,1,1,0,0,46
